"","fecha_YM","producto","precio_promedio_pond","precio_promedio","ingresos_mes"
"1","2013-01","Cebolla",15.0740279984299,15.25,1663629
"2","2013-01","Manzana",38.504312878307,38.5083333333333,1283955
"3","2013-01","Naranja",12.0686612017895,12.05,3584954
"4","2013-01","Papa",15.894318531201,15.81,11952895
"5","2013-01","Tomate",30.903516248425,31.525,2065831
"6","2013-02","Cebolla",15.2294018068246,15.125,1476513
"7","2013-02","Manzana",30.9331921077664,30.9593750000001,1183066
"8","2013-02","Naranja",13.8967642748567,13.61875,2473580
"9","2013-02","Papa",17.6088440959532,17.571875,9478702
"10","2013-02","Tomate",37.9221434372517,37.46875,1418453
"11","2013-03","Cebolla",17.9572417287884,18.28125,1340916
"12","2013-03","Manzana",31.9166300104167,31.9817708333334,1114237
"13","2013-03","Naranja",15.1916642445639,15.125,1692744
"14","2013-03","Papa",20.0610532126385,20.0375,7063322
"15","2013-03","Tomate",38.9675581073208,37.75,1086481
"16","2013-04","Cebolla",22.4018682074756,22.4875,1780450
"17","2013-04","Manzana",31.2430015056055,31.1658333333334,1671679
"18","2013-04","Naranja",14.6729819817733,14.7258333333333,2375280
"19","2013-04","Papa",19.2225181496597,19.175,9664644
"20","2013-04","Tomate",32.6554336696115,33.1,1586980
"21","2013-05","Cebolla",28.2330413014861,28.21875,1331647
"22","2013-05","Manzana",31.9973752511525,32.2965277777778,1230273
"23","2013-05","Naranja",13.0213202732676,12.8947916666666,2380718
"24","2013-05","Papa",14.1882650714092,13.9375,10460004
"25","2013-05","Tomate",20.9988968551694,21.0625,1346718
"26","2013-06","Cebolla",29.2712088163239,28.59375,748203
"27","2013-06","Manzana",32.4082827939226,32.3627232142858,1252694
"28","2013-06","Naranja",10.2118186850178,10.284375,2109230
"29","2013-06","Papa",8.69706395053034,8.6875,9906032
"30","2013-06","Tomate",27.6932889941899,27.65625,1052644
"31","2013-07","Cebolla",26.0802086918047,26.375,508525
"32","2013-07","Manzana",33.5882873148672,33.5622023809523,1585034
"33","2013-07","Naranja",9.96247875360692,9.95583333333336,2654176
"34","2013-07","Papa",8.99775040990322,9.01,12413906
"35","2013-07","Tomate",22.7142692367437,22.75,1293969
"36","2013-08","Cebolla",31.8411228998227,31.875,332710
"37","2013-08","Manzana",35.8857469974844,35.9215277777779,1309550
"38","2013-08","Naranja",10.9081399378821,10.8723958333333,2340498
"39","2013-08","Papa",9.6291141340782,9.61666666666667,10446690
"40","2013-08","Tomate",33.6024664968059,33.75,1000427
"41","2013-09","Cebolla",23.9779197450075,25.7,656333
"42","2013-09","Manzana",39.9806437332279,40.0475,1664222
"43","2013-09","Naranja",11.5802470522286,11.56875,2604510
"44","2013-09","Papa",8.73333333333335,8.73333333333335,12940456
"45","2013-09","Tomate",30.5468416841718,32.55,1772337
"46","2013-10","Cebolla",15.3261290906179,15.4583333333333,1348696
"47","2013-10","Manzana",41.9230185409051,41.9258928571429,1373180
"48","2013-10","Naranja",9.61715063410646,9.640625,2387454
"49","2013-10","Papa",10.0554194369562,10.0458333333333,9609104
"50","2013-10","Tomate",35.6702735260892,36.5,1760673
"51","2013-11","Cebolla",10.3794719914141,10.375,1755426
"52","2013-11","Manzana",40.4866930721813,40.575,1431970
"53","2013-11","Naranja",9.64207244177644,9.640625,3478918
"54","2013-11","Papa",12.2589842190523,12.128125,8857136
"55","2013-11","Tomate",19.1358643198345,20.2291666666667,2397899
"56","2013-12","Cebolla",9.64658909629741,9.79583333333333,1247029
"57","2013-12","Manzana",37.4358674692701,37.6235714285716,1205743
"58","2013-12","Naranja",10.5354352342747,10.525,3423076
"59","2013-12","Papa",13.4090100234086,13.475,9303422
"60","2013-12","Tomate",19.3286365089951,19.1083333333333,2557934
"61","2014-01","Cebolla",11.2844470326467,11.4062500000001,1114888
"62","2014-01","Manzana",37.5670781389625,37.6572916666667,925842
"63","2014-01","Naranja",11.1566201140561,10.865625,3016587
"64","2014-01","Papa",17.9638466093152,17.68125,9052375
"65","2014-01","Tomate",23.8802758014909,26.125,1564241
"66","2014-02","Cebolla",18.8791600009793,18.7447916666667,1252684
"67","2014-02","Manzana",31.7008830812419,31.7791666666667,1182177
"68","2014-02","Naranja",11.9327910043318,11.921875,2178782
"69","2014-02","Papa",24.8937459696253,24.703125,5489564
"70","2014-02","Tomate",43.2363677184919,43.59375,1205365
"71","2014-03","Cebolla",17.4328622672399,17.4375,1502620
"72","2014-03","Manzana",22.4461494841688,22.3720833333333,1822528
"73","2014-03","Naranja",13.537715977654,13.5166666666667,3406178
"74","2014-03","Papa",21.253297358735,21.25,9058614
"75","2014-03","Tomate",70.2032114794199,71.375,762826
"76","2014-04","Cebolla",19.2524594078506,19.171875,1274138
"77","2014-04","Manzana",20.8162176800437,20.7828125,1306391
"78","2014-04","Naranja",16.6321151707425,16.5885416666666,2501486
"79","2014-04","Papa",18.7449021108225,18.871875,7950266
"80","2014-04","Tomate",41.6408496322789,43.25,854452
"81","2014-05","Cebolla",19.0066249283607,18.953125,1315618
"82","2014-05","Manzana",20.8542239579148,20.8635416666667,1368810
"83","2014-05","Naranja",12.1193035802765,12.1302083333334,2205947
"84","2014-05","Papa",17.8789449542956,17.890625,8233340
"85","2014-05","Tomate",24.0077967220675,23.65625,1218573
"86","2014-06","Cebolla",18.9857545597225,18.975,1497953
"87","2014-06","Manzana",20.9493396913357,20.9397023809524,1432561
"88","2014-06","Naranja",10.2278171191681,10.19,2485296
"89","2014-06","Papa",19.19333638154,19.2475,8812832
"90","2014-06","Tomate",24.4247735592098,24.4125,1259656
"91","2014-07","Cebolla",19.723656079805,19.953125,1183385
"92","2014-07","Manzana",22.2316669948582,22.1968005952381,1341043
"93","2014-07","Naranja",8.88489943944625,8.9,2193902
"94","2014-07","Papa",18.8841749488656,18.8125,6855466
"95","2014-07","Tomate",25.4854351207411,25.5,1053742
"96","2014-08","Cebolla",26.0655802406461,26.046875,969141
"97","2014-08","Manzana",22.7914579839794,22.7819940476189,1501582
"98","2014-08","Naranja",9.91134880595274,9.95833333333337,2053520
"99","2014-08","Papa",18.2437793796713,18.1875,7344364
"100","2014-08","Tomate",33.6253446071829,34.28125,1138978
"101","2014-09","Cebolla",20.191244772538,20.36,899337
"102","2014-09","Manzana",24.0082777412019,23.999880952381,2050525
"103","2014-09","Naranja",10.7839781209397,10.7391666666667,2808134
"104","2014-09","Papa",16.3813404950885,16.4,9702184
"105","2014-09","Tomate",45.4097896790368,45.3,1593921
"106","2014-10","Cebolla",17.4524807280519,17.6354166666667,1319448
"107","2014-10","Manzana",24.6886318765052,24.6842757936509,1780794
"108","2014-10","Naranja",10.925274705541,10.984375,3174126
"109","2014-10","Papa",17.7617053152221,17.78125,9144585
"110","2014-10","Tomate",39.5890814142843,40.78125,1728026
"111","2014-11","Cebolla",13.3065712306804,13.25,1495051
"112","2014-11","Manzana",27.0461879425779,27.1133928571429,1609503
"113","2014-11","Naranja",9.3993606075518,9.40625,3779760
"114","2014-11","Papa",22.8898778920755,22.725,7203218
"115","2014-11","Tomate",16.4152132067644,16.4375,2246364
"116","2014-12","Cebolla",17.2373694952566,17.1958333333333,1630624
"117","2014-12","Manzana",31.0939013778441,31.1375,1705418
"118","2014-12","Naranja",10.6738583582937,10.675,4379614
"119","2014-12","Papa",22.9555812165029,22.8791666666667,8114254
"120","2014-12","Tomate",22.7459261799459,23.51,2760063
"121","2015-01","Cebolla",15.2973752510112,15.3229166666667,1334934
"122","2015-01","Manzana",29.0059760372359,29.1281249999999,1468904
"123","2015-01","Naranja",11.252514001913,11.265625,3602722
"124","2015-01","Papa",28.3616660535761,28.1875,8084722
"125","2015-01","Tomate",25.8730480289264,25.9375,1719672
"126","2015-02","Cebolla",15.912674461078,15.9166666666666,1131580
"127","2015-02","Manzana",24.3851233777511,24.3729166666667,1539324
"128","2015-02","Naranja",16.4638178328258,16.5625,2646580
"129","2015-02","Papa",25.6681553822013,25.5,6251810
"130","2015-02","Tomate",32.6064645265015,32.75,1459202
"131","2015-03","Cebolla",17.5851707173797,17.4875,1562729
"132","2015-03","Manzana",20.3944065787239,20.1208333333334,1819441
"133","2015-03","Naranja",16.926399633118,16.75,2745660
"134","2015-03","Papa",23.1817880476479,23.25,7471132
"135","2015-03","Tomate",35.5536041136857,34.55,1832420
"136","2015-04","Cebolla",19.0268166704688,19.0625,1372043
"137","2015-04","Manzana",18.2243479417802,18.3258928571427,1601650
"138","2015-04","Naranja",15.4022544756116,15.40625,2258574
"139","2015-04","Papa",23.0561184156284,23.09375,6598048
"140","2015-04","Tomate",28.3235145758099,27.6875,1525507
"141","2015-05","Cebolla",20.8758162914975,20.96875,1393727
"142","2015-05","Manzana",20.7504654586058,20.7578125000001,1526735
"143","2015-05","Naranja",13.5698860712421,13.5625,2129752
"144","2015-05","Papa",21.7318440626253,21.71875,7619546
"145","2015-05","Tomate",33.09744896567,33.5,1246024
"146","2015-06","Cebolla",34.4926554636676,34.325,1564224
"147","2015-06","Manzana",21.3767846987789,21.3397727272728,1780560
"148","2015-06","Naranja",11.4919227556875,11.5,2648428
"149","2015-06","Papa",20.1711458306306,20.175,10791560
"150","2015-06","Tomate",25.0863060478296,25.7,1350253
"151","2015-07","Cebolla",41.1187359313593,41.75,736123
"152","2015-07","Manzana",20.5902362152865,20.5871212121214,1434526
"153","2015-07","Naranja",10.5097611476743,10.5,2082542
"154","2015-07","Papa",19.9482393029621,19.953125,7837450
"155","2015-07","Tomate",29.7586279638411,29.5625,962307
"156","2015-08","Cebolla",49.4791618163803,47.35,369394
"157","2015-08","Manzana",22.0164900414683,21.9856060606063,1782481
"158","2015-08","Naranja",11.3517536430786,11.3541666666667,2644970
"159","2015-08","Papa",21.7162907835932,21.7,8938950
"160","2015-08","Tomate",24.4679434107586,24.475,1507389
"161","2015-09","Cebolla",32.8658084807937,35.6510416666667,461254
"162","2015-09","Manzana",23.3529424333083,23.3661931818181,1578318
"163","2015-09","Naranja",11.7909750428205,11.7864583333331,2291919
"164","2015-09","Papa",21.7649882758108,21.78125,4976890
"165","2015-09","Tomate",29.3840174812259,29.875,1388747
"166","2015-10","Cebolla",18.5733942533934,18.8854166666667,1271475
"167","2015-10","Manzana",25.3076084318809,25.2883838383837,1668812
"168","2015-10","Naranja",12.308447431402,12.2812499999999,2850764
"169","2015-10","Papa",23.1322612413788,23.46875,5541580
"170","2015-10","Tomate",35.9800995715972,36.265625,1520765
"171","2015-11","Cebolla",15.2129099915299,15.2416666666667,2263624
"172","2015-11","Manzana",28.5294406502975,28.4647222222222,2175500
"173","2015-11","Naranja",13.1860344777523,13.05,4752572
"174","2015-11","Papa",29.1240080293409,29.2,7266848
"175","2015-11","Tomate",29.4926084418065,29.3833333333334,2415881
"176","2015-12","Cebolla",13.1031993295293,13.0052083333333,1180862
"177","2015-12","Manzana",33.9576685293887,34.2339285714285,1245668
"178","2015-12","Naranja",18.4317517415079,18.65625,2924190
"179","2015-12","Papa",26.3368584263677,26.3125,5721362
"180","2015-12","Tomate",25.9815399761951,26.4791666666667,1988942
"181","2016-01","Cebolla",12.0215531874374,12,1207710
"182","2016-01","Manzana",42.9549972734308,43.1104166666666,1316673
"183","2016-01","Naranja",34.6899384521777,35.859375,2718374
"184","2016-01","Papa",20.4044759540528,20.28125,7283140
"185","2016-01","Tomate",17.0527731837005,17.34375,2030392
"186","2016-02","Cebolla",11,11,1375350
"187","2016-02","Manzana",40.9116711859635,40.945,1719294
"188","2016-02","Naranja",44.5226209024563,45.9,983272
"189","2016-02","Papa",19.5899632884983,19.55,8354330
"190","2016-02","Tomate",22.1784878854296,22.1,2038083
"191","2016-03","Cebolla",12.7348369002563,12.65625,1178420
"192","2016-03","Manzana",41.9656266679218,41.8619791666667,1367720
"193","2016-03","Naranja",44.0338165012105,43.15625,444428
"194","2016-03","Papa",21.8965284689683,21.9375,6984728
"195","2016-03","Tomate",36.2548121029367,36.3854166666667,1306939
"196","2016-04","Cebolla",14.6755406010891,14.75,1450700
"197","2016-04","Manzana",41.1745075748388,41.1796130952381,1484168
"198","2016-04","Naranja",33.0929340869232,33.734375,1488210
"199","2016-04","Papa",15.8151916972937,15.9375,9577600
"200","2016-04","Tomate",35.6902599092352,35.53125,1262383
"201","2016-05","Cebolla",17.7967827032707,17.7625,1629256
"202","2016-05","Manzana",42.200318579425,42.1705357142857,1466003
"203","2016-05","Naranja",14.943781377871,14.8875,2627648
"204","2016-05","Papa",19.0954470891136,19.25,11046120
"205","2016-05","Tomate",47.9827143482065,49.625,971550
"206","2016-06","Cebolla",19.3804583444378,19.375,1290776
"207","2016-06","Manzana",42.521496965761,42.5446428571429,1025722
"208","2016-06","Naranja",8.58347119447161,8.4375,2763046
"209","2016-06","Papa",20.440072363565,20.46875,8177596
"210","2016-06","Tomate",61.0275296058611,61.4375,572184
"211","2016-07","Cebolla",19.4720438016168,19.5,1558116
"212","2016-07","Manzana",45.6162924611524,45.6666666666666,1016980
"213","2016-07","Naranja",7.59973509233888,7.59375,2356104
"214","2016-07","Papa",21.2744225623471,21.28125,8721894
"215","2016-07","Tomate",53.7290940907598,57.96875,648459
"216","2016-08","Cebolla",19.75,19.75,1614324
"217","2016-08","Manzana",47.6397758904498,47.5808333333333,1506804
"218","2016-08","Naranja",7.82100641891464,7.8,3629274
"219","2016-08","Papa",19.2322086914995,19.225,10365300
"220","2016-08","Tomate",66.6570033135522,66.675,851654
"221","2016-09","Cebolla",20.4178068297229,20.453125,1146108
"222","2016-09","Manzana",47.5057305256264,47.5260416666666,1140195
"223","2016-09","Naranja",11.0314099735651,10.9010416666666,3213682
"224","2016-09","Papa",19,19,7725168
"225","2016-09","Tomate",71.4290887841192,73.34375,755732
"226","2016-10","Cebolla",18.7418275827941,18.7875,1495396
"227","2016-10","Manzana",49.6931626047403,49.7833333333334,1490631
"228","2016-10","Naranja",10.87669256922,10.8416666666667,4030362
"229","2016-10","Papa",19.9329573582492,19.925,10491830
"230","2016-10","Tomate",46.9760664769595,51.8,1837569
"231","2016-11","Cebolla",15.2908646829837,15.2395833333333,1708472
"232","2016-11","Manzana",54.5376492480437,54.7916666666666,1156827
"233","2016-11","Naranja",10.2866032848826,10.28125,4021818
"234","2016-11","Papa",21.6628104459907,21.59375,7615898
"235","2016-11","Tomate",20.516781797436,20.796875,2166920
"236","2016-12","Cebolla",13.3131990994872,13.265625,1457947
"237","2016-12","Manzana",60.1671019860386,60.225,883719
"238","2016-12","Naranja",10.25,10.25,4206338
"239","2016-12","Papa",21.8125345357437,21.84375,7296788
"240","2016-12","Tomate",16.0249239166792,16.5625,2517306
"241","2017-01","Cebolla",14.0602211714024,14.025,1328698
"242","2017-01","Manzana",44.3311028009246,46.6825,1287075
"243","2017-01","Naranja",10.702001323947,10.7375,3752416
"244","2017-01","Papa",21.3468613036646,21.35,10372300
"245","2017-01","Tomate",19.3320506499213,19.6,2348592
"246","2017-02","Cebolla",15.75,15.75,1031684
"247","2017-02","Manzana",24.8950907684683,24.8072916666666,1475797
"248","2017-02","Naranja",11.9353376105062,11.9375,2914542
"249","2017-02","Papa",20.3672039528726,20.375,9239458
"250","2017-02","Tomate",26.3287228834674,26.125,1642356
"251","2017-03","Cebolla",15.75,15.75,1207146
"252","2017-03","Manzana",23.5549955336587,23.546875,1863382
"253","2017-03","Naranja",14.6729505647532,14.828125,2726678
"254","2017-03","Papa",20.3125954280502,20.3125,10422774
"255","2017-03","Tomate",36.243578576825,37.3125,1369965
"256","2017-04","Cebolla",16.0038792768085,15.9375,1233864
"257","2017-04","Manzana",24.6979063167528,24.640625,1599651
"258","2017-04","Naranja",16.9786694561344,17.046875,2358156
"259","2017-04","Papa",20.4320475800055,20.4375,9720890
"260","2017-04","Tomate",36.9906970375725,37.5,1261668
"261","2017-05","Cebolla",16.735651052622,16.75,1640190
"262","2017-05","Manzana",27.7061367854559,27.6233333333334,1660196
"263","2017-05","Naranja",14.8290181462348,14.85,3474550
"264","2017-05","Papa",20.2192413909837,20.2,11154178
"265","2017-05","Tomate",27.8437270254716,28.1,1615920
"266","2017-06","Cebolla",17.5041833367183,17.5,1324481
"267","2017-06","Manzana",26.3843310765644,26.3833333333332,1389302
"268","2017-06","Naranja",13.1221509211689,13.15625,3055900
"269","2017-06","Papa",19.9903634271203,20,9572153
"270","2017-06","Tomate",30.6627379419097,30.84375,1218207
"271","2017-07","Cebolla",20.63010689626,20.625,1631348
"272","2017-07","Manzana",28.5523838305599,28.5166666666666,1680957
"273","2017-07","Naranja",13.2414559969055,13.25,3567590
"274","2017-07","Papa",18.613673030851,18.6,10951076
"275","2017-07","Tomate",27.2801357988437,28.55,1484696
"276","2017-08","Cebolla",25.1124856283162,25.125,1192449
"277","2017-08","Manzana",31.9256397686475,31.9791666666668,1573759
"278","2017-08","Naranja",15.8861776536482,15.90625,3171238
"279","2017-08","Papa",18.5,18.5,8276024
"280","2017-08","Tomate",52.9480454737823,52.4375,1082206
"281","2017-09","Cebolla",33.1788798528899,33.3541666666667,999705
"282","2017-09","Manzana",32.3790963535198,32.3768601190478,1662475
"283","2017-09","Naranja",14.8417662158715,14.859375,3778952
"284","2017-09","Papa",18.5,18.5,8636804
"285","2017-09","Tomate",50.1072102475657,50.375,1448383
"286","2017-10","Cebolla",36.9262248647848,37.2208333333333,1687125
"287","2017-10","Manzana",38.7799880845179,38.8922619047619,2221000
"288","2017-10","Naranja",14.37995741651,14.4,4546950
"289","2017-10","Papa",19.1877778036217,19.2,11350194
"290","2017-10","Tomate",46.7766525572938,47.05,2217911
"291","2017-11","Cebolla",21.4211867044376,21.21875,1845864
